# Containers
# https://www.ncbi.nlm.nih.gov/sra/docs/submitformats/

BAM		bam
CRAM		cram
EMBL		embl
FASTA		fasta || fa || fsa
FASTA+QUAL	fasta && qual
CSFASTA+QUAL	csfasta && qual
FASTQ		fastq || sanfastq || fq
GFF		gff2 || gff3 || gff
GTF		gtf
GenBank		gb || gbk
HDF5		hdf5 || (bash5 && baxh5) || fast5
PIR		pir
QSeq		qseq
SAM		sam
SFF		sff
SRF		srf
SnapGene	dna seq
SwissProt	dat
VCF		vcf
Plain		txt csv


# ContainersProt
# https://www.ncbi.nlm.nih.gov/pmc/articles/PMC3518119/
# DO NOT PARSE RAW FILES. TOO MANY COMPETING VENDORS

ABI/Sciex	wiff t2d
APML		apml
ASF		asf
Agilent/Bruker	d yep baf tdf fid
BlibBuild	blib
Bruker/Varian	sms xms
Finnigan	dat ms
ION-TOF		itm ita
JCAMP-DX	jdx
MGF		mgf
MS2		ms2
MSF		msf
OMSSA		omx
PEFF		peff
Pickle		pkl pickle
Shimadzu	qgd lcd spc
Skyline		sky skyd
TPP/SPC		dta
Tandem		tandem
TraML		traml
ULVAC-PHI	tdc
mzML		mzml
mzXML		mzxml
mzData		mzdata
pepXML		pepxml
protXML		protxml
Plain		csv txt


# ContainersGames
# https://www.ncbi.nlm.nih.gov/pmc/articles/PMC3948928/

Analyze		img || hdr
#Interfile	img || hdr &| h33
Dicom		dcm
JPEG		jpg jpeg jfif
JPEG 2000	jp2 j2k jpf jpx jpm mj2
Minc		mnc
Nifti		nii
PNG		png
TIFF		tiff tif
WebP		webp
Other		''


# Archives

7z		7z
bzip2		bz2 bzip2
gzip		gz gzip
Pickle		pkl pickle
RAR		rar rev
ZIP		zip zipx
None		''
